update,global_step,episode,loss,replay_size
1,1000,19,0.03779074549674988,1000
2,1001,19,0.03918186575174332,1001
3,1002,19,0.019251307472586632,1002
4,1003,19,0.09335830807685852,1003
5,1004,19,0.041499413549900055,1004
6,1005,19,0.06953339278697968,1005
7,1006,19,0.017723476514220238,1006
8,1007,19,0.06107059866189957,1007
9,1008,19,0.03743806108832359,1008
10,1009,19,0.015587572008371353,1009
11,1010,19,0.031311288475990295,1010
12,1011,19,0.08935047686100006,1011
13,1012,19,0.10311984270811081,1012
14,1013,19,0.057811446487903595,1013
15,1014,19,0.046931859105825424,1014
16,1015,19,0.012320336885750294,1015
17,1016,19,0.03814288601279259,1016
18,1017,19,0.05368674546480179,1017
19,1018,19,0.06266321986913681,1018
20,1019,19,0.05057201534509659,1019
21,1020,19,0.008249051868915558,1020
22,1021,19,0.11922227591276169,1021
23,1022,19,0.08311065286397934,1022
24,1023,19,0.021385638043284416,1023
25,1024,19,0.08512362837791443,1024
26,1025,19,0.05754425749182701,1025
27,1026,19,0.1317313313484192,1026
28,1027,19,0.14558355510234833,1027
29,1028,19,0.05780560523271561,1028
30,1029,19,0.02309766784310341,1029
31,1030,19,0.10001787543296814,1030
32,1031,19,0.42264673113822937,1031
33,1032,19,0.2703600227832794,1032
34,1033,19,0.07265505194664001,1033
35,1034,19,0.8251802921295166,1034
36,1035,19,0.0477721244096756,1035
37,1036,20,0.05215209349989891,1036
38,1037,20,0.7795789837837219,1037
39,1038,20,0.07095959782600403,1038
40,1039,20,0.5590316653251648,1039
41,1040,20,0.5250765681266785,1040
42,1041,20,1.4046307802200317,1041
43,1042,20,0.1509903073310852,1042
44,1043,20,0.2165694534778595,1043
45,1044,20,0.8940710425376892,1044
46,1045,20,1.813220739364624,1045
47,1046,20,0.7161388397216797,1046
48,1047,20,0.8579448461532593,1047
49,1048,20,0.8633725047111511,1048
50,1049,20,1.8766427040100098,1049
51,1050,20,0.17376412451267242,1050
52,1051,20,1.633748173713684,1051
53,1052,20,1.5605156421661377,1052
54,1053,20,1.1914933919906616,1053
55,1054,20,0.16199976205825806,1054
56,1055,20,0.49361929297447205,1055
57,1056,20,2.7237305641174316,1056
58,1057,20,0.42683684825897217,1057
59,1058,20,0.4301993250846863,1058
60,1059,20,2.3551559448242188,1059
61,1060,20,3.9945123195648193,1060
62,1061,20,0.10906924307346344,1061
63,1062,20,0.12773321568965912,1062
